match_no,batting_team,batting_side,overs,runs,"bowler_to_batsman, runs",commentary,numerical_runs,bowler,batsman,preprocessed_commentary
7,SL,2,9.3,1,"M Nabi to Gunathilaka, 1 run","flatter delivery. Full on middle, and angling into leg. Clipped towards square leg for a comfortable single",1,M Nabi,Gunathilaka,"['flatter', 'deliveri', 'full', 'middl', 'angl', 'leg', 'clip', 'toward', 'squar', 'leg', 'comfort']"
7,SL,2,9.4,0,"M Nabi to Asalanka, no run",bit of extra bounce off this length ball outside off. Tapped back to the bowler,0,M Nabi,Asalanka,"['bit', 'extra', 'bounc', 'thi', 'length', 'ball', 'outsid', 'tap', 'back', 'bowler']"
7,SL,2,9.5,0,"M Nabi to Asalanka, no run",Full on middle stump. Worked off his pads to midwicket. Fielder charges in to ensure they don't consider the single,0,M Nabi,Asalanka,"['full', 'middl', 'stump', 'work', 'hi', 'pad', 'midwicket', 'fielder', 'charg', 'ensur', ""n't"", 'consid']"
7,SL,2,9.6,0,"M Nabi to Asalanka, no run",fullish outside off stump. Punched off the back foot to cover,0,M Nabi,Asalanka,"['fullish', 'outsid', 'stump', 'punch', 'back', 'foot', 'cover']"
7,SL,2,10.1,2,"Rashid Khan to Gunathilaka, 2 runs","length on off, back foot punch through the cover for a couple",2,Rashid Khan,Gunathilaka,"['length', 'back', 'foot', 'punch', 'cover']"
7,SL,2,10.2,1,"Rashid Khan to Gunathilaka, 1 run","pushed through on the pads, stays back and worked towards midwicket",1,Rashid Khan,Gunathilaka,"['push', 'pad', 'stay', 'back', 'work', 'toward', 'midwicket']"
7,SL,2,10.3,0,"Rashid Khan to Asalanka, no run","good length, flat through the air. Nudged back to Rashid.",0,Rashid Khan,Asalanka,"['good', 'length', 'flat', 'air', 'nudg', 'back', 'wash']"
7,SL,2,10.4,1,"Rashid Khan to Asalanka, 1 run","length ball, skids through and Asalanka just about gets bat to this as he looks to cut this in front of the stumps. Dicey cricket!",1,Rashid Khan,Asalanka,"['length', 'ball', 'skid', 'asalanka', 'get', 'bat', 'thi', 'look', 'cut', 'thi', 'front', 'stump', 'dicey', 'cricket']"
7,SL,2,10.5,0,"Rashid Khan to Gunathilaka, no run","Goes for the slog sweep, but this keeps low and goes under the bat through to the keeper.",0,Rashid Khan,Gunathilaka,"['goe', 'slog', 'sweep', 'thi', 'keep', 'low', 'goe', 'bat', 'keeper']"
7,SL,2,10.6,1lb,"Rashid Khan to Gunathilaka, 1 leg bye","Huuuge appeal for lbw! But the umpire is having none of it. This was another attempted slog sweep, and Gunathilaka misses again, struck flush on the back pad. It's pitching outside leg though.",1,Rashid Khan,Gunathilaka,"['huge', 'appeal', 'law', 'umpir', 'n', 'thi', 'wa', 'anoth', 'attempt', 'slog', 'sweep', 'gunathilaka', 'miss', 'struck', 'flush', 'back', 'pad', 'pitch', 'outsid', 'leg', 'though']"
7,SL,2,11.1,6,"M Nabi to Gunathilaka, SIX runs",Inside out cover drive all the way! What a shot by Gunathilaka.,6,M Nabi,Gunathilaka,"['insid', 'cover', 'drive', 'way', 'shot', 'gunathilaka']"
7,SL,2,11.2,1,"M Nabi to Gunathilaka, 1 run","Nabi responds with flatter ball, that's clipped in front of square for one.",1,M Nabi,Gunathilaka,"['nab', 'respond', 'flatter', 'ball', 'clip', 'front', 'squar']"
7,SL,2,11.3,W,"M Nabi to Asalanka, OUT","Inside edge on to the stumps! Goes for the big slog sweep, but only manages to deflect it onto the stumps.",0,M Nabi,Asalanka,"['insid', 'edg', 'stump', 'goe', 'big', 'slog', 'sweep', 'onli', 'manag', 'deflect', 'onto', 'stump']"
7,SL,2,11.4,1,"M Nabi to Shanaka, 1 run","Forward defence square on the offside and they scamper an almost suicidal single, as Gurbaz picks it up and shies at the stumps. If he hit, that would have been gone.",1,M Nabi,Shanaka,"['forward', 'defens', 'squar', 'offsid', 'scamper', 'almost', 'suicid', 'urban', 'pick', 'shi', 'stump', 'hit', 'would', 'g']"
7,SL,2,11.5,2,"M Nabi to Gunathilaka, 2 runs","length outside off, slashed hard into the covers. Sweeper is in place.",2,M Nabi,Gunathilaka,"['length', 'outsid', 'slash', 'hard', 'cover', 'sweeper', 'place']"
